序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1. 您是否了解云南的“三农”政策？ ,2. 您认为抖音短视频对云南农产品的宣传效果如何？ ,3. 您是否曾通过抖音平台购买过云南的农产品？ ,4. 您认为抖音直播带货对云南乡村经济的促进作用如何？ ,5. 您认为云南的农产品在抖音上的展示方式是否吸引消费者？ ,6. 您最关注云南农产品的哪些方面？ ,7. 您认为云南的“三农”政策对电商发展的支持力度如何？ ,8. 您是否参与过云南乡村的电商培训活动？ ,9. 您认为云南乡村电商发展的主要障碍是什么？ ,10. 您对云南三农的抖音短视频内容的质量有何看法？ ,11. 您认为云南农民在使用抖音进行产品推广时遇到的最大困难是什么？ ,12. 您希望云南的“三农”政策在电商领域有哪些改进？ ,13. 您认为未来云南的电商发展趋势如何？ ,14. 您对云南农产品在抖音上的推广方式有何建议？ ,15. 您还有其他想要补充的意见或建议吗？ ,"1. 您是否了解云南的""三农""政策？ ","7. 您认为云南的""三农""政策对电商发展的支持力度如何？ ","12. 您希望云南的""三农""政策在电商领域有哪些改进？ "
377,2025/2/15 16:57,418秒,微信,N/A,39.144.69.212(海南-海口),,C 较差,A 是,A 非常大,B 一般,A 价格,,B 否,D 政策支持不足,C 较低,C 缺乏市场信息,,市场潜力巨大,提升包装设计,加强市场调研,B 否,A 很大,增加培训支持，提高农民技能
378,2025/2/16 03:54,469秒,微信,N/A,39.144.220.33(重庆-重庆),,A 非常好,A 是,A 非常大,C 不吸引,A 价格┋B 质量,,A 是,B 技术支持不足,C 较低,C 缺乏市场信息,,市场潜力巨大,创新营销方式,提升服务水平,A 是,C 较小,加强电商平台合作
379,2025/2/16 04:39,63秒,微信,N/A,125.43.77.248(河南-洛阳),,A 非常好,A 是,A 非常大,B 一般,A 价格┋B 质量┋C 产地,,A 是,C 市场认知度低,A 很高,A 缺乏技能,,跨境电商机会增多,注重用户体验,无建议,A 是,B 一般,提升农产品包装设计
380,2025/2/16 11:05,344秒,微信,N/A,43.250.244.162(广西-南宁),,A 非常好,B 否,A 非常大,B 一般,A 价格┋B 质量┋C 产地,,A 是,B 技术支持不足┋C 市场认知度低,B 一般,A 缺乏技能┋C 缺乏市场信息,,发展前景广阔,加强品牌营销,无建议,B 否,B 一般,加强电商平台合作
381,2025/2/15 19:46,131秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,A 是,C 没有作用,B 一般,C 产地,,A 是,C 市场认知度低,B 一般,A 缺乏技能┋C 缺乏市场信息,,创新模式不断涌现,提升包装设计,无建议,A 是,C 较小,提供更多资金支持
382,2025/2/16 10:13,282秒,微信,N/A,125.43.77.248(河南-洛阳),,C 较差,A 是,A 非常大,C 不吸引,C 产地,,A 是,B 技术支持不足┋C 市场认知度低,C 较低,C 缺乏市场信息,,需要进一步完善,注重用户体验,建议加强培训,A 是,A 很大,加强品牌建设，提升产品价值
383,2025/2/16 12:56,405秒,微信,N/A,43.250.244.162(广西-南宁),,C 较差,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量,,B 否,B 技术支持不足,B 一般,C 缺乏市场信息,,发展前景广阔,增加直播互动,加强市场调研,A 是,B 一般,提升农产品包装设计
384,2025/2/16 03:39,454秒,微信,N/A,43.250.244.162(广西-南宁),,B 一般,B 否,C 没有作用,B 一般,D 品牌,,B 否,B 技术支持不足┋C 市场认知度低,B 一般,A 缺乏技能┋B 缺乏资金,,持续稳定增长,创新营销方式,无建议,A 是,B 一般,加强电商平台合作
385,2025/2/15 21:04,186秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,B 否,B 一定程度上,A 非常吸引,A 价格,,A 是,D 政策支持不足,A 很高,A 缺乏技能┋B 缺乏资金,,跨境电商机会增多,创新营销方式,建议加强培训,B 否,A 很大,加强电商平台合作
386,2025/2/15 16:13,464秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量┋C 产地,,A 是,B 技术支持不足,B 一般,A 缺乏技能┋C 缺乏市场信息,,创新模式不断涌现,开展特色活动,继续努力创新,B 否,B 一般,优化销售渠道
387,2025/2/16 02:44,489秒,微信,N/A,114.254.3.207(北京-北京),,C 较差,A 是,A 非常大,B 一般,C 产地,,B 否,B 技术支持不足,B 一般,A 缺乏技能┋C 缺乏市场信息,,品牌价值提升,提升包装设计,重视质量管理,A 是,B 一般,完善物流体系，提升配送效率
388,2025/2/16 12:02,368秒,微信,N/A,43.250.244.162(广西-南宁),,A 非常好,B 否,A 非常大,A 非常吸引,C 产地,,A 是,C 市场认知度低,B 一般,D 缺乏平台支持,,品牌价值提升,加强品牌营销,无建议,B 否,C 较小,加大推广力度，提高知名度
389,2025/2/16 08:58,261秒,微信,N/A,114.254.3.207(北京-北京),,A 非常好,A 是,C 没有作用,A 非常吸引,C 产地,,B 否,A 物流问题┋B 技术支持不足,B 一般,B 缺乏资金┋C 缺乏市场信息,,品牌价值提升,加强产品质量展示,加强市场调研,B 否,C 较小,加大推广力度，提高知名度
390,2025/2/15 18:27,218秒,微信,N/A,111.60.187.159(湖北-荆州),,A 非常好,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量┋C 产地,,B 否,A 物流问题,C 较低,A 缺乏技能┋C 缺乏市场信息,,持续稳定增长,注重用户体验,保持特色发展,B 否,B 一般,提供更多资金支持
391,2025/2/15 21:31,251秒,微信,N/A,183.138.163.182(浙江-温州),,C 较差,A 是,A 非常大,A 非常吸引,D 品牌,,B 否,B 技术支持不足┋C 市场认知度低,A 很高,D 缺乏平台支持,,市场潜力巨大,加强产品质量展示,期待更多支持,B 否,A 很大,加强市场调研分析
392,2025/2/16 01:30,340秒,微信,N/A,39.144.220.33(重庆-重庆),,A 非常好,B 否,A 非常大,B 一般,A 价格,,B 否,D 政策支持不足,B 一般,B 缺乏资金,,持续稳定增长,提升包装设计,期待更多支持,B 否,A 很大,提升农产品包装设计
393,2025/2/16 06:40,460秒,微信,N/A,114.254.3.207(北京-北京),,C 较差,A 是,B 一定程度上,C 不吸引,D 品牌,,B 否,A 物流问题┋B 技术支持不足,A 很高,D 缺乏平台支持,,创新模式不断涌现,加强产品质量展示,重视质量管理,A 是,A 很大,加强电商平台合作
394,2025/2/16 03:12,361秒,微信,N/A,182.102.182.185(江西-南昌),,A 非常好,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量┋C 产地,,A 是,B 技术支持不足┋C 市场认知度低,A 很高,A 缺乏技能┋B 缺乏资金,,市场潜力巨大,注重用户体验,无建议,A 是,C 较小,提供更多资金支持
395,2025/2/16 12:38,30秒,微信,N/A,114.254.3.207(北京-北京),,B 一般,B 否,A 非常大,C 不吸引,A 价格,,A 是,B 技术支持不足┋C 市场认知度低,A 很高,B 缺乏资金,,产业链逐步完善,建立信任机制,看好未来发展,B 否,C 较小,加强电商平台合作
396,2025/2/16 11:22,287秒,微信,N/A,39.144.69.212(海南-海口),,A 非常好,B 否,C 没有作用,C 不吸引,A 价格,,B 否,C 市场认知度低,C 较低,A 缺乏技能┋C 缺乏市场信息,,产业链逐步完善,建立信任机制,继续努力创新,A 是,A 很大,改善农产品质量管理
397,2025/2/15 18:29,334秒,微信,N/A,39.144.220.33(重庆-重庆),,B 一般,A 是,B 一定程度上,A 非常吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,A 物流问题,A 很高,A 缺乏技能┋B 缺乏资金,,发展前景广阔,突出地方特色,提升服务水平,B 否,B 一般,提供更多资金支持
398,2025/2/16 03:25,275秒,微信,N/A,183.138.163.182(浙江-温州),,C 较差,A 是,B 一定程度上,B 一般,C 产地,,A 是,A 物流问题┋B 技术支持不足,B 一般,D 缺乏平台支持,,创新模式不断涌现,增加直播互动,优化运营模式,B 否,B 一般,增加培训支持，提高农民技能
399,2025/2/16 09:36,391秒,微信,N/A,183.138.163.182(浙江-温州),,A 非常好,B 否,A 非常大,A 非常吸引,A 价格┋B 质量┋C 产地,,A 是,A 物流问题,A 很高,B 缺乏资金,,创新模式不断涌现,注重用户体验,保持特色发展,B 否,B 一般,加强市场调研分析
400,2025/2/16 04:10,270秒,微信,N/A,114.254.3.207(北京-北京),,C 较差,A 是,B 一定程度上,C 不吸引,C 产地,,A 是,B 技术支持不足,B 一般,B 缺乏资金,,创新模式不断涌现,优化视频内容,期待更多支持,A 是,B 一般,完善物流体系，提升配送效率
401,2025/2/16 10:22,271秒,微信,N/A,39.144.69.212(海南-海口),,A 非常好,B 否,C 没有作用,C 不吸引,C 产地,,A 是,A 物流问题┋C 市场认知度低,B 一般,D 缺乏平台支持,,产业链逐步完善,创新营销方式,无建议,A 是,A 很大,加大推广力度，提高知名度
402,2025/2/16 01:25,37秒,微信,N/A,39.144.69.212(海南-海口),,A 非常好,B 否,C 没有作用,B 一般,A 价格┋B 质量,,B 否,B 技术支持不足┋C 市场认知度低,C 较低,C 缺乏市场信息,,需要进一步完善,注重用户体验,保持特色发展,B 否,A 很大,提供更多资金支持
403,2025/2/15 17:40,359秒,微信,N/A,182.102.182.185(江西-南昌),,C 较差,B 否,A 非常大,B 一般,D 品牌,,A 是,A 物流问题┋B 技术支持不足,B 一般,A 缺乏技能┋B 缺乏资金,,创新模式不断涌现,加强品牌营销,加强市场调研,A 是,B 一般,加大推广力度，提高知名度
404,2025/2/16 03:52,402秒,微信,N/A,125.43.77.248(河南-洛阳),,B 一般,A 是,C 没有作用,A 非常吸引,B 质量,,A 是,C 市场认知度低,B 一般,B 缺乏资金,,需要进一步完善,建立信任机制,建议加强培训,B 否,B 一般,提供更多资金支持
405,2025/2/16 08:08,111秒,微信,N/A,43.250.244.162(广西-南宁),,A 非常好,A 是,A 非常大,C 不吸引,A 价格,,A 是,D 政策支持不足,B 一般,A 缺乏技能┋B 缺乏资金,,需要进一步完善,注重用户体验,重视质量管理,B 否,B 一般,优化销售渠道
406,2025/2/15 19:17,35秒,微信,N/A,183.138.163.182(浙江-温州),,C 较差,A 是,A 非常大,A 非常吸引,A 价格┋B 质量┋C 产地,,B 否,C 市场认知度低,A 很高,A 缺乏技能┋C 缺乏市场信息,,创新模式不断涌现,提升包装设计,无建议,A 是,B 一般,完善物流体系，提升配送效率
407,2025/2/15 22:23,185秒,微信,N/A,39.144.69.212(海南-海口),,B 一般,B 否,C 没有作用,A 非常吸引,A 价格┋B 质量┋C 产地┋D 品牌,,B 否,C 市场认知度低,B 一般,C 缺乏市场信息,,产业链逐步完善,优化视频内容,优化运营模式,B 否,B 一般,加强品牌建设，提升产品价值
408,2025/2/15 15:30,38秒,微信,N/A,114.254.3.207(北京-北京),,C 较差,A 是,C 没有作用,C 不吸引,B 质量,,A 是,A 物流问题┋B 技术支持不足,A 很高,B 缺乏资金,,需要进一步完善,优化视频内容,看好未来发展,B 否,C 较小,改善农产品质量管理
409,2025/2/15 14:08,191秒,微信,N/A,222.219.208.72(云南-文山),,B 一般,A 是,C 没有作用,C 不吸引,C 产地,,B 否,C 市场认知度低,B 一般,D 缺乏平台支持,,跨境电商机会增多,加强品牌营销,重视质量管理,B 否,B 一般,增加培训支持，提高农民技能
410,2025/2/16 12:19,193秒,微信,N/A,125.43.77.248(河南-洛阳),,C 较差,A 是,A 非常大,A 非常吸引,D 品牌,,B 否,D 政策支持不足,B 一般,B 缺乏资金┋C 缺乏市场信息,,跨境电商机会增多,加强品牌营销,提升服务水平,A 是,C 较小,增加培训支持，提高农民技能
411,2025/2/15 22:36,379秒,微信,N/A,114.254.3.207(北京-北京),,C 较差,B 否,B 一定程度上,B 一般,B 质量,,A 是,C 市场认知度低,C 较低,A 缺乏技能,,持续稳定增长,增加直播互动,优化运营模式,B 否,B 一般,增加培训支持，提高农民技能
412,2025/2/16 11:54,177秒,微信,N/A,222.219.208.72(云南-文山),,A 非常好,A 是,A 非常大,C 不吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,A 物流问题┋B 技术支持不足,A 很高,A 缺乏技能┋C 缺乏市场信息,,市场潜力巨大,优化视频内容,无建议,A 是,B 一般,加大推广力度，提高知名度
413,2025/2/16 03:23,330秒,微信,N/A,223.149.137.53(湖南-怀化),,B 一般,A 是,A 非常大,C 不吸引,B 质量,,B 否,D 政策支持不足,B 一般,A 缺乏技能┋C 缺乏市场信息,,市场潜力巨大,突出地方特色,无建议,B 否,B 一般,加强品牌建设，提升产品价值
414,2025/2/16 01:04,173秒,微信,N/A,223.149.137.53(湖南-怀化),,C 较差,A 是,C 没有作用,B 一般,A 价格┋B 质量,,A 是,B 技术支持不足,A 很高,A 缺乏技能,,持续稳定增长,优化视频内容,加强市场调研,B 否,B 一般,提升农产品包装设计
415,2025/2/16 04:10,211秒,微信,N/A,182.102.182.185(江西-南昌),,B 一般,A 是,C 没有作用,A 非常吸引,A 价格,,A 是,C 市场认知度低,A 很高,A 缺乏技能┋B 缺乏资金,,品牌价值提升,加强品牌营销,看好未来发展,A 是,B 一般,加强市场调研分析
416,2025/2/16 00:14,227秒,微信,N/A,183.228.148.26(重庆-重庆),,C 较差,B 否,B 一定程度上,C 不吸引,D 品牌,,B 否,C 市场认知度低,C 较低,A 缺乏技能┋B 缺乏资金,,逐步规范化发展,提升包装设计,保持特色发展,A 是,A 很大,增加培训支持，提高农民技能
417,2025/2/16 07:00,243秒,微信,N/A,111.60.187.159(湖北-荆州),,C 较差,A 是,C 没有作用,A 非常吸引,A 价格┋B 质量┋C 产地,,A 是,C 市场认知度低,B 一般,C 缺乏市场信息,,数字化转型加速,注重用户体验,优化运营模式,B 否,B 一般,加强市场调研分析
418,2025/2/16 06:23,171秒,微信,N/A,223.104.195.58(山东-泰安),,C 较差,A 是,C 没有作用,A 非常吸引,A 价格┋B 质量,,B 否,B 技术支持不足┋C 市场认知度低,C 较低,A 缺乏技能┋C 缺乏市场信息,,产业链逐步完善,优化视频内容,继续努力创新,B 否,A 很大,增加培训支持，提高农民技能
419,2025/2/15 18:57,45秒,微信,N/A,223.149.137.53(湖南-怀化),,A 非常好,A 是,A 非常大,A 非常吸引,C 产地,,A 是,A 物流问题┋C 市场认知度低,A 很高,A 缺乏技能,,数字化转型加速,创新营销方式,无建议,B 否,A 很大,加大推广力度，提高知名度
420,2025/2/16 06:41,256秒,微信,N/A,183.138.163.182(浙江-温州),,A 非常好,B 否,C 没有作用,A 非常吸引,C 产地,,A 是,A 物流问题,C 较低,A 缺乏技能,,创新模式不断涌现,提升包装设计,继续努力创新,B 否,A 很大,加强品牌建设，提升产品价值
421,2025/2/16 03:04,411秒,微信,N/A,182.102.182.185(江西-南昌),,B 一般,B 否,C 没有作用,B 一般,A 价格┋B 质量,,B 否,B 技术支持不足,B 一般,A 缺乏技能┋B 缺乏资金,,逐步规范化发展,加强品牌营销,继续努力创新,A 是,A 很大,优化销售渠道
422,2025/2/15 15:35,161秒,微信,N/A,39.144.69.212(海南-海口),,A 非常好,B 否,B 一定程度上,C 不吸引,C 产地,,B 否,B 技术支持不足,A 很高,A 缺乏技能┋B 缺乏资金,,持续稳定增长,加强产品质量展示,期待更多支持,A 是,C 较小,加大推广力度，提高知名度
423,2025/2/16 03:54,216秒,微信,N/A,223.149.137.53(湖南-怀化),,B 一般,B 否,B 一定程度上,B 一般,C 产地,,B 否,A 物流问题,A 很高,D 缺乏平台支持,,创新模式不断涌现,创新营销方式,建议加强培训,A 是,B 一般,优化销售渠道
424,2025/2/15 19:59,65秒,微信,N/A,43.250.244.162(广西-南宁),,C 较差,B 否,C 没有作用,C 不吸引,C 产地,,B 否,D 政策支持不足,C 较低,A 缺乏技能┋C 缺乏市场信息,,跨境电商机会增多,增加直播互动,提升服务水平,A 是,B 一般,加大推广力度，提高知名度
425,2025/2/16 01:55,470秒,微信,N/A,183.228.148.26(重庆-重庆),,A 非常好,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量,,A 是,C 市场认知度低,A 很高,A 缺乏技能,,需要进一步完善,优化视频内容,提升服务水平,A 是,C 较小,加强市场调研分析
426,2025/2/16 01:04,283秒,微信,N/A,114.254.3.207(北京-北京),,B 一般,B 否,A 非常大,B 一般,A 价格┋B 质量┋C 产地,,B 否,B 技术支持不足┋C 市场认知度低,C 较低,D 缺乏平台支持,,产业链逐步完善,增加直播互动,继续努力创新,B 否,C 较小,加强电商平台合作
427,2025/2/16 02:01,102秒,微信,N/A,223.149.137.53(湖南-怀化),,C 较差,A 是,B 一定程度上,B 一般,A 价格┋B 质量,,A 是,A 物流问题┋C 市场认知度低,A 很高,C 缺乏市场信息,,品牌价值提升,建立信任机制,重视质量管理,A 是,A 很大,加大推广力度，提高知名度
428,2025/2/15 20:47,89秒,微信,N/A,183.138.163.182(浙江-温州),,C 较差,A 是,B 一定程度上,A 非常吸引,D 品牌,,A 是,B 技术支持不足┋C 市场认知度低,B 一般,B 缺乏资金┋C 缺乏市场信息,,数字化转型加速,突出地方特色,提升服务水平,A 是,B 一般,加大推广力度，提高知名度
429,2025/2/15 16:00,113秒,微信,N/A,182.102.182.185(江西-南昌),,A 非常好,A 是,B 一定程度上,A 非常吸引,A 价格┋B 质量┋C 产地,,A 是,B 技术支持不足,C 较低,A 缺乏技能,,产业链逐步完善,注重用户体验,加强市场调研,A 是,B 一般,改善农产品质量管理
430,2025/2/15 21:20,51秒,微信,N/A,43.250.244.162(广西-南宁),,A 非常好,B 否,C 没有作用,A 非常吸引,A 价格┋B 质量,,B 否,B 技术支持不足,B 一般,B 缺乏资金,,发展前景广阔,注重用户体验,提升服务水平,A 是,B 一般,改善农产品质量管理
431,2025/2/16 05:13,150秒,微信,N/A,114.254.3.207(北京-北京),,C 较差,B 否,B 一定程度上,A 非常吸引,C 产地,,B 否,A 物流问题┋B 技术支持不足,B 一般,A 缺乏技能,,产业链逐步完善,优化视频内容,加强市场调研,B 否,B 一般,完善物流体系，提升配送效率
432,2025/2/15 19:10,320秒,微信,N/A,223.149.137.53(湖南-怀化),,C 较差,B 否,C 没有作用,C 不吸引,A 价格,,A 是,B 技术支持不足┋C 市场认知度低,A 很高,B 缺乏资金┋C 缺乏市场信息,,创新模式不断涌现,注重用户体验,看好未来发展,B 否,B 一般,加强电商平台合作
433,2025/2/16 07:53,305秒,微信,N/A,43.250.244.162(广西-南宁),,B 一般,B 否,C 没有作用,A 非常吸引,A 价格┋B 质量,,B 否,B 技术支持不足,A 很高,A 缺乏技能┋C 缺乏市场信息,,品牌价值提升,注重用户体验,提升服务水平,B 否,C 较小,加大推广力度，提高知名度
434,2025/2/15 13:03,283秒,微信,N/A,222.219.208.72(云南-文山),,B 一般,B 否,C 没有作用,B 一般,A 价格┋B 质量,,B 否,A 物流问题,B 一般,D 缺乏平台支持,,创新模式不断涌现,增加直播互动,期待更多支持,A 是,A 很大,改善农产品质量管理
435,2025/2/15 20:12,274秒,微信,N/A,114.254.3.207(北京-北京),,A 非常好,B 否,A 非常大,A 非常吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,B 技术支持不足┋C 市场认知度低,A 很高,D 缺乏平台支持,,品牌价值提升,加强产品质量展示,无建议,A 是,B 一般,改善农产品质量管理
436,2025/2/15 15:06,322秒,微信,N/A,182.102.182.185(江西-南昌),,C 较差,B 否,A 非常大,C 不吸引,D 品牌,,B 否,A 物流问题┋B 技术支持不足,C 较低,D 缺乏平台支持,,品牌价值提升,注重用户体验,优化运营模式,B 否,C 较小,加强电商平台合作
437,2025/2/15 16:51,254秒,微信,N/A,183.228.148.26(重庆-重庆),,C 较差,A 是,B 一定程度上,C 不吸引,D 品牌,,B 否,A 物流问题┋B 技术支持不足,C 较低,A 缺乏技能┋B 缺乏资金,,创新模式不断涌现,优化视频内容,建议加强培训,A 是,A 很大,加强品牌建设，提升产品价值
